"id","age","age2","male","married","educ","hhsize","village","disability","employ","wage","ln_wage","age_before","age2_before"
229421,45,2025,1,0,6,2,1,NA,NA,NA,NA,45,2025
229422,17,289,0,0,NA,2,1,NA,NA,NA,NA,17,289
229423,16,256,0,0,6,2,1,NA,NA,NA,NA,16,256
229511,26,676,1,1,12,2,1,NA,NA,NA,NA,26,676
229512,44,1936,0,1,NA,2,1,NA,NA,NA,NA,44,1936
229513,17,289,0,1,9,2,1,NA,NA,NA,NA,17,289
2300014,34,1156,1,1,6,3,1,NA,NA,NA,NA,34,1156
230007,30,900,0,1,6,3,1,NA,NA,NA,NA,30,900
301001,66,4356,1,1,9,3,1,NA,NA,NA,NA,66,4356
301002,55,3025,0,1,6,3,1,NA,NA,NA,NA,55,3025
301009,19,361,1,0,12,3,1,NA,NA,NA,NA,19,361
301411,39,1521,1,1,12,3,1,NA,NA,NA,NA,39,1521
301412,36,1296,0,1,6,3,1,NA,NA,NA,NA,36,1296
301511,31,961,0,1,12,2,1,NA,NA,NA,NA,31,961
301512,28,784,1,1,0,2,1,NA,NA,NA,NA,28,784
301521,25,625,0,1,12,2,1,NA,NA,NA,NA,25,625
301522,27,729,1,1,9,2,1,NA,NA,NA,NA,27,729
301531,23,529,1,1,6,2,1,NA,NA,NA,NA,23,529
301532,23,529,0,1,12,2,1,NA,NA,NA,NA,23,529
302001,47,2209,1,1,6,3,1,NA,NA,NA,NA,47,2209
302002,49,2401,0,1,6,3,1,NA,NA,NA,NA,49,2401
302003,29,841,1,1,12,3,1,NA,NA,NA,NA,29,841
302004,27,729,1,0,9,3,1,NA,NA,NA,NA,27,729
302006,22,484,1,0,9,3,1,NA,NA,NA,NA,22,484
302007,20,400,1,0,9,3,1,NA,NA,NA,NA,20,400
302008,19,361,1,0,9,3,1,NA,NA,NA,NA,19,361
302511,24,576,0,1,12,3,1,NA,NA,NA,NA,24,576
303003,40,1600,1,1,12,3,1,NA,NA,NA,NA,40,1600
303007,40,1600,0,1,12,3,1,NA,NA,NA,NA,40,1600
303008,15,225,1,0,12,3,1,NA,NA,NA,NA,15,225
303122,36,1296,0,0,12,3,1,NA,NA,NA,NA,36,1296
303424,18,324,1,0,0,3,1,NA,NA,NA,NA,18,324
304001,47,2209,1,1,6,3,1,NA,NA,NA,NA,47,2209
304002,44,1936,0,1,6,3,1,NA,NA,NA,NA,44,1936
304004,22,484,0,0,16,3,1,NA,NA,NA,NA,22,484
304005,19,361,0,0,12,3,1,NA,NA,NA,NA,19,361
304006,17,289,0,0,12,3,1,NA,NA,NA,NA,17,289
304511,27,729,1,1,9,2,1,NA,NA,NA,NA,27,729
304512,25,625,0,1,12,2,1,NA,NA,NA,NA,25,625
304521,16,256,0,0,0,2,1,NA,NA,NA,NA,16,256
305001,77,5929,1,1,16,3,1,NA,NA,NA,NA,77,5929
3050010,26,676,1,1,12,3,1,NA,NA,NA,NA,26,676
305002,63,3969,0,1,6,3,1,NA,NA,NA,NA,63,3969
305005,33,1089,1,0,12,3,1,NA,NA,NA,NA,33,1089
305007,26,676,0,0,12,3,1,NA,NA,NA,NA,26,676
305008,24,576,0,1,12,3,1,NA,NA,NA,NA,24,576
305411,39,1521,1,1,12,3,1,NA,NA,NA,NA,39,1521
305412,34,1156,0,1,0,3,1,NA,NA,NA,NA,34,1156
305511,42,1764,1,1,9,2,1,NA,NA,NA,NA,42,1764
305512,39,1521,0,1,0,2,1,NA,NA,NA,NA,39,1521
305521,31,961,1,1,12,2,1,NA,NA,NA,NA,31,961
