"id","employ","wage","ln_wage","sec_agr","sec_min","sec_man","sec_ele","sec_con","sec_who","sec_tra","sec_fin","sec_soc","sec_other"
"189133310",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18913335",1,1200000,13.9978321147582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18913411",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18913412",1,9e+05,13.7101500423064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18913511",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18913512",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18915002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18915411",1,1e+06,13.8155105579643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18915412",1,6e+05,13.3046849341983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18915511",1,1e+06,13.8155105579643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18915521",1,1e+06,13.8155105579643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18915522",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18915523",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18916002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18916311",1,1e+06,13.8155105579643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18916312",1,1150000,13.9552725003394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18916321",1,1e+06,13.8155105579643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18916322",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18916323",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18917001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18917002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18918001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18918004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18918008",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18919001",1,NA,NA,0,0,0,0,0,1,0,0,0,0
"18919002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18919003",1,NA,NA,0,0,0,0,0,1,0,0,0,0
"18919004",1,37500,10.5320962119585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19002006",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19002009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19002321",1,4e+06,15.2018049190842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
