"id","hhid14","age","age2","male","married","educ","hhsize","rural","disability","dis_phys","dis_cog","dis_vis","dis_hear","dis_verb","dis_men","dis_autism","employ","wage","ln_wage","sec_agr","sec_min","sec_man","sec_ele","sec_con","sec_who","sec_tra","sec_fin","sec_soc","sec_other"
"10001001","1000100",52,2704,1,1,6,4,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10001002","1000100",44,1936,0,1,6,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10001004","1000100",24,576,0,0,9,4,0,0,0,0,0,0,0,0,0,1,6e+05,13.3046849341983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10001511","1000151",28,784,1,1,12,2,0,0,0,0,0,0,0,0,0,1,1200000,13.9978321147582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10001512","1000151",27,729,0,1,12,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10002001","1000200",47,2209,1,1,0,3,0,1,0,0,1,0,0,0,0,1,2400000,14.6909792953182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10002002","1000200",40,1600,0,1,0,3,0,0,0,0,0,0,0,0,0,1,515000,13.1519221796459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10002004","1000200",16,256,1,0,12,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10002511","1000251",15,225,0,0,12,2,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10003001","1000300",55,3025,1,1,12,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10003002","1000300",44,1936,0,1,9,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10003005","1000300",16,256,0,0,12,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10003511","1000351",31,961,1,1,12,2,0,0,0,0,0,0,0,0,0,1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10003512","1000351",26,676,0,1,12,2,0,1,0,0,1,0,0,0,0,1,2400000,14.6909792953182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10003521","1000352",25,625,1,1,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10003522","1000352",24,576,0,1,12,2,0,0,0,0,0,0,0,0,0,1,2710000,14.8124591928559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004001","1000400",52,2704,1,1,NA,3,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0
"10004002","1000400",50,2500,0,1,9,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004006","1000400",21,441,1,0,6,3,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0
"10004311","1000431",37,1369,1,1,6,3,0,0,0,0,0,0,0,0,0,1,1e+06,13.8155105579643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004312","1000431",33,1089,0,1,9,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004313","1000431",16,256,0,0,12,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004412","1000441",31,961,0,1,6,3,0,0,0,0,0,0,0,0,0,1,2016000,14.5166259081734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004414","1000441",36,1296,1,1,12,3,0,0,0,0,0,0,0,0,0,1,2700000,14.8087623309746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004511","1000451",26,676,1,1,6,2,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0
"10004512","1000451",25,625,0,1,6,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10005001","1000500",59,3481,1,1,9,3,0,0,0,0,0,0,0,0,0,1,3e+06,14.9141228466324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10005004","1000500",37,1369,0,1,6,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
